experiment,factor,included_strategy,excluded_strategy,included_d10_d1_annual_return,excluded_d10_d1_annual_return,d10_d1_annual_return_delta,included_top20_excess_annual_return,excluded_top20_excess_annual_return,top20_excess_annual_return_delta,included_rank_ic_mean,excluded_rank_ic_mean,rank_ic_mean_delta,included_d10_d1_max_drawdown,excluded_d10_d1_max_drawdown,d10_d1_max_drawdown_delta,included_top20_max_drawdown,excluded_top20_max_drawdown,top20_max_drawdown_delta,included_d10_d1_average_two_leg_turnover,excluded_d10_d1_average_two_leg_turnover,d10_d1_average_two_leg_turnover_delta,included_top20_average_monthly_turnover,excluded_top20_average_monthly_turnover,top20_average_monthly_turnover_delta,included_average_valid_stock_count,excluded_average_valid_stock_count,average_valid_stock_count_delta,included_average_available_component_count,excluded_average_available_component_count,average_available_component_count_delta,d10_d1_annual_return_positive_subperiods,d10_d1_annual_return_negative_subperiods,d10_d1_annual_return_valid_subperiods,d10_d1_annual_return_stability,top20_excess_annual_return_positive_subperiods,top20_excess_annual_return_negative_subperiods,top20_excess_annual_return_valid_subperiods,top20_excess_annual_return_stability
leave_one_out,ROE,Full11_Equal,LOO_without_ROE,0.09053483269038964,0.09567721820606101,-0.005142385515671366,0.06854654667870519,0.07392336960261825,-0.0053768229239130605,0.009357402766931392,0.006945102240068651,0.002412300526862742,-0.04138664987902818,-0.03258739200755767,-0.008799257871470512,-0.17210531685036368,-0.1718721203767063,-0.00023319647365738216,0.6670754935549187,0.7411224746683258,-0.07404698111340713,0.2882994964385645,0.31483168906059084,-0.02653219262202633,5206.210526315789,5196.9473684210525,9.26315789473665,10.335492457023623,9.335492457023623,1.0,2,1,3,mixed,1,2,3,stable_negative
leave_one_out,PE_TTM,Full11_Equal,LOO_without_PE_TTM,0.09053483269038964,0.0899164534480672,0.0006183792423224421,0.06854654667870519,0.061001504007847096,0.007545042670858093,0.009357402766931392,0.004859868161740941,0.004497534605190452,-0.04138664987902818,-0.04638662078284517,0.004999970903816986,-0.17210531685036368,-0.17286417355555472,0.0007588567051910466,0.6670754935549187,0.7004292061175499,-0.0333537125626312,0.2882994964385645,0.30099035405475894,-0.012690857616194429,5206.210526315789,5197.631578947368,8.578947368420813,10.335492457023623,9.587967152337328,0.7475253046862953,1,2,3,mixed,3,0,3,stable_positive
leave_one_out,Revenue_Growth,Full11_Equal,LOO_without_Revenue_Growth,0.09053483269038964,0.017930048017980704,0.07260478467240894,0.06854654667870519,0.033336088599801084,0.035210458078904106,0.009357402766931392,0.003136325228771695,0.0062210775381596976,-0.04138664987902818,-0.07520427916037742,0.03381762928134924,-0.17210531685036368,-0.17045957018289315,-0.0016457466674705268,0.6670754935549187,0.685166679548045,-0.018091185993126313,0.2882994964385645,0.2967718911506219,-0.008472394712057407,5206.210526315789,5196.9473684210525,9.26315789473665,10.335492457023623,9.335492457023623,1.0,3,0,3,stable_positive,3,0,3,stable_positive
leave_one_out,Momentum_60D,Full11_Equal,LOO_without_Momentum_60D,0.09053483269038964,0.06323501773149642,0.02729981495889322,0.06854654667870519,0.04558925549986248,0.02295729117884271,0.009357402766931392,0.022143924563197845,-0.012786521796266452,-0.04138664987902818,-0.05540099377395158,0.014014343894923398,-0.17210531685036368,-0.16240219667867817,-0.009703120171685509,0.6670754935549187,0.5725700902233818,0.0945054033315369,0.2882994964385645,0.2371344377593249,0.051165058679239594,5206.210526315789,5206.210526315789,0.0,10.335492457023623,9.341484946748993,0.9940075102746295,1,2,3,mixed,2,1,3,stable_positive
leave_one_out,Turnover_20D,Full11_Equal,LOO_without_Turnover_20D,0.09053483269038964,0.10479328420113565,-0.014258451510746006,0.06854654667870519,0.05854976545746582,0.00999678122123937,0.009357402766931392,0.0341272859807348,-0.024769883213803405,-0.04138664987902818,-0.03692249801502934,-0.004464151863998844,-0.17210531685036368,-0.1605507493041871,-0.011554567546176564,0.6670754935549187,0.579371797172961,0.08770369638195774,0.2882994964385645,0.2369908910584825,0.051308605380082,5206.210526315789,5202.1578947368425,4.0526315789466025,10.335492457023623,9.33742933432075,0.998063122702872,1,2,3,stable_negative,2,1,3,stable_positive
leave_one_out,Debt_to_Equity,Full11_Equal,LOO_without_Debt_to_Equity,0.09053483269038964,0.06199440197871153,0.02854043071167811,0.06854654667870519,0.07083084652224714,-0.002284299843541948,0.009357402766931392,0.008250617773665326,0.0011067849932660662,-0.04138664987902818,-0.04074133386581935,-0.0006453160132088298,-0.17210531685036368,-0.1716150153972138,-0.0004903014531498773,0.6670754935549187,0.7008767734501625,-0.03380127989524384,0.2882994964385645,0.2981822538409855,-0.009882757402421005,5206.210526315789,5196.9473684210525,9.26315789473665,10.335492457023623,9.335492457023623,1.0,2,1,3,stable_positive,1,2,3,stable_negative
leave_one_out,Volatility,Full11_Equal,LOO_without_Volatility,0.09053483269038964,0.09544646749884866,-0.00491163480845902,0.06854654667870519,0.07994975337160604,-0.011403206692900847,0.009357402766931392,-0.009423913299016217,0.018781316065947608,-0.04138664987902818,-0.048271143019412155,0.006884493140383974,-0.17210531685036368,-0.18873429408778009,0.01662897723741641,0.6670754935549187,0.6928025647697126,-0.025727071214793895,0.2882994964385645,0.30519664550239123,-0.016897149063826722,5206.210526315789,5206.210526315789,0.0,10.335492457023623,9.357499968845852,0.9779924881777706,1,2,3,stable_negative,1,2,3,stable_negative
leave_one_out,Main_Net_In,Full11_Equal,LOO_without_Main_Net_In,0.09053483269038964,0.07372609600583613,0.016808736684553516,0.06854654667870519,0.08053800825948199,-0.011991461580776797,0.009357402766931392,0.010264304127326266,-0.0009069013603948736,-0.04138664987902818,-0.049096441660470225,0.007709791781442044,-0.17210531685036368,-0.1748700162329141,0.0027646993825504174,0.6670754935549187,0.5435563850220767,0.12351910853284198,0.2882994964385645,0.2442188364405965,0.04408065999796801,5206.210526315789,5201.473684210527,4.73684210526244,10.335492457023623,9.38884437485888,0.9466480821647423,3,0,3,stable_positive,0,3,3,stable_negative
leave_one_out,Dividend_Yield,Full11_Equal,LOO_without_Dividend_Yield,0.09053483269038964,0.11345614318732244,-0.0229213104969328,0.06854654667870519,0.08362128954295756,-0.015074742864252366,0.009357402766931392,0.0034640794580547353,0.0058933233088766575,-0.04138664987902818,-0.043989704354744585,0.0026030544757164042,-0.17210531685036368,-0.18093973376831363,0.00883441691794995,0.6670754935549187,0.7018208241990702,-0.03474533064415153,0.2882994964385645,0.30841385818057315,-0.020114361742008646,5206.210526315789,5206.210526315789,0.0,10.335492457023623,9.617047549269454,0.7184449077541686,0,3,3,stable_negative,1,2,3,stable_negative
leave_one_out,Holder_Concen,Full11_Equal,LOO_without_Holder_Concen,0.09053483269038964,0.09361309336050905,-0.0030782606701194037,0.06854654667870519,0.056586771825891224,0.011959774852813965,0.009357402766931392,0.009253840920677419,0.00010356184625397342,-0.04138664987902818,-0.04507556143778757,0.003688911558759389,-0.17210531685036368,-0.17628612869459848,0.0041808118442348,0.6670754935549187,0.6999535549525495,-0.03287806139763083,0.2882994964385645,0.31986151923593836,-0.031562022797373857,5206.210526315789,5205.0526315789475,1.1578947368416266,10.335492457023623,9.364258604638938,0.9712338523846853,2,1,3,mixed,3,0,3,stable_positive
leave_one_out,Gross_Margin,Full11_Equal,LOO_without_Gross_Margin,0.09053483269038964,0.08424314042005654,0.006291692270333105,0.06854654667870519,0.06947175277709583,-0.0009252060983906407,0.009357402766931392,0.007343640492766606,0.002013762274164786,-0.04138664987902818,-0.046307322806328655,0.0049206729273004735,-0.17210531685036368,-0.17578945658438028,0.0036841397340166004,0.6670754935549187,0.7265562872819044,-0.05948079372698567,0.2882994964385645,0.3170658850651974,-0.02876638862663289,5206.210526315789,5196.9473684210525,9.26315789473665,10.335492457023623,9.353915268145157,0.9815771888784663,2,1,3,stable_positive,1,2,3,stable_negative
